# Age =     0.037774
# [Fe/H]_init  =     0.133103
# ranom =     0.000000
# Mass         Radius         logL           logg           Teff           [Fe/H]_surf    Radius_0       Teff_0         logg_0         Xc             
     0.60000002     0.52441579    -1.15164971     4.77660322  4110.34472656     0.12932102     0.52441579  4110.34472656     4.77660322     0.70614052
     0.60068393     0.52481204    -1.15025580     4.77645540  4112.13232422     0.12931293     0.52481204  4112.13232422     4.77645540     0.70602196
     0.60136789     0.52536297    -1.14855421     4.77606106  4114.12158203     0.12930410     0.52536297  4114.12158203     4.77606106     0.70596921
     0.60205179     0.52608508    -1.14652681     4.77538538  4116.13427734     0.12929903     0.52608508  4116.13427734     4.77538538     0.70595866
     0.60273576     0.52685213    -1.14447606     4.77462292  4117.97656250     0.12929076     0.52685213  4117.97656250     4.77462292     0.70595312
     0.60341966     0.52766484    -1.14237320     4.77377701  4119.81689453     0.12928554     0.52766484  4119.81689453     4.77377701     0.70596224
     0.60410357     0.52842969    -1.14041936     4.77299833  4121.44140625     0.12928827     0.52842969  4121.44140625     4.77299833     0.70596528
     0.60478753     0.52918380    -1.13851714     4.77224731  4123.00976562     0.12928396     0.52918380  4123.00976562     4.77224731     0.70597243
     0.60547143     0.52992237    -1.13667023     4.77151871  4124.50390625     0.12928018     0.52992237  4124.50390625     4.77151871     0.70597994
     0.60615540     0.53063154    -1.13488448     4.77083492  4125.97119141     0.12928426     0.53063154  4125.97119141     4.77083492     0.70598924
     0.60683930     0.53134102    -1.13312244     4.77016449  4127.36230469     0.12928264     0.53134102  4127.36230469     4.77016449     0.70599163
     0.60752320     0.53204608    -1.13136840     4.76949453  4128.79003906     0.12927839     0.53204608  4128.79003906     4.76949453     0.70600247
     0.60820717     0.53274125    -1.12962925     4.76884270  4130.19531250     0.12927829     0.53274125  4130.19531250     4.76884270     0.70600116
     0.60889107     0.53343493    -1.12790370     4.76819420  4131.66748047     0.12928756     0.53343493  4131.66748047     4.76819420     0.70601094
     0.60957503     0.53412420    -1.12617803     4.76755571  4133.04882812     0.12928429     0.53412420  4133.04882812     4.76755571     0.70601577
     0.61025894     0.53480864    -1.12444448     4.76692057  4134.48535156     0.12928428     0.53480864  4134.48535156     4.76692057     0.70602030
     0.61094284     0.53549623    -1.12270534     4.76628828  4135.94287109     0.12928395     0.53549623  4135.94287109     4.76628828     0.70602649
     0.61162680     0.53618777    -1.12095845     4.76565313  4137.42578125     0.12928283     0.53618777  4137.42578125     4.76565313     0.70603299
     0.61231071     0.53688091    -1.11920083     4.76501656  4138.93652344     0.12928253     0.53688091  4138.93652344     4.76501656     0.70603889
     0.61299467     0.53757507    -1.11743224     4.76437902  4140.47509766     0.12928325     0.53757507  4140.47509766     4.76437902     0.70604402
     0.61367857     0.53826994    -1.11565328     4.76374054  4142.03906250     0.12928469     0.53826994  4142.03906250     4.76374054     0.70604891
     0.61436248     0.53896499    -1.11386597     4.76310301  4143.63134766     0.12928702     0.53896499  4143.63134766     4.76310301     0.70605320
     0.61504644     0.53966016    -1.11207128     4.76246500  4145.24658203     0.12929009     0.53966016  4145.24658203     4.76246500     0.70605654
     0.61573035     0.54035574    -1.11027408     4.76182938  4146.87402344     0.12929298     0.54035574  4146.87402344     4.76182938     0.70605969
     0.61641431     0.54105210    -1.10847652     4.76119423  4148.51123047     0.12929513     0.54105210  4148.51123047     4.76119423     0.70606357
     0.61709821     0.54174441    -1.10668278     4.76056528  4150.16699219     0.12929882     0.54174441  4150.16699219     4.76056528     0.70606893
     0.61778212     0.54242957    -1.10489655     4.75995064  4151.83056641     0.12930271     0.54242957  4151.83056641     4.75995064     0.70607519
     0.61846608     0.54311085    -1.10312271     4.75934553  4153.41748047     0.12929630     0.54311085  4153.41748047     4.75934553     0.70607823
     0.61914998     0.54378450    -1.10136676     4.75874949  4155.04101562     0.12929861     0.54378450  4155.04101562     4.75874949     0.70608640
     0.61983395     0.54444528    -1.09963703     4.75816488  4156.70458984     0.12930441     0.54444528  4156.70458984     4.75816488     0.70609337
     0.62051785     0.54509401    -1.09794223     4.75760984  4158.21533203     0.12931038     0.54509401  4158.21533203     4.75760984     0.70609564
     0.62120175     0.54574800    -1.09624755     4.75704336  4159.85009766     0.12930739     0.54574800  4159.85009766     4.75704336     0.70610160
     0.62188572     0.54638445    -1.09460139     4.75650597  4161.30029297     0.12931079     0.54638445  4161.30029297     4.75650597     0.70610839
     0.62256962     0.54700226    -1.09300697     4.75599241  4162.75585938     0.12931482     0.54700226  4162.75585938     4.75599241     0.70611489
     0.62325358     0.54759574    -1.09149706     4.75552511  4164.11132812     0.12931485     0.54759574  4164.11132812     4.75552511     0.70611817
     0.62393749     0.54817891    -1.09003818     4.75507879  4165.33886719     0.12932090     0.54817891  4165.33886719     4.75507879     0.70612592
     0.62462139     0.54879701    -1.08851075     4.75457144  4166.71142578     0.12931943     0.54879701  4166.71142578     4.75457144     0.70613241
     0.62530535     0.54938519    -1.08707750     4.75411034  4167.88037109     0.12933125     0.54938519  4167.88037109     4.75411034     0.70614314
     0.62598926     0.55003226    -1.08548188     4.75355005  4169.27392578     0.12933221     0.55003226  4169.27392578     4.75355005     0.70614719
     0.62667322     0.55069309    -1.08388782     4.75298214  4170.57666016     0.12933172     0.55069309  4170.57666016     4.75298214     0.70615834
