# Age =     0.033074
# [Fe/H]_init  =     0.133103
# ranom =     0.000000
# Mass         Radius         logL           logg           Teff           [Fe/H]_surf    Radius_0       Teff_0         logg_0         Xc             
     0.60000002     0.52430928    -1.15174723     4.77676964  4110.54101562     0.12933514     0.52430928  4110.54101562     4.77676964     0.70619607
     0.60068393     0.52470362    -1.15035129     4.77663898  4112.33105469     0.12932758     0.52470362  4112.33105469     4.77663898     0.70608586
     0.60136789     0.52528477    -1.14854169     4.77620459  4114.46484375     0.12932210     0.52528477  4114.46484375     4.77620459     0.70603871
     0.60205179     0.52603483    -1.14642966     4.77546930  4116.50048828     0.12931614     0.52603483  4116.50048828     4.77546930     0.70602518
     0.60273576     0.52682394    -1.14431536     4.77465868  4118.51464844     0.12931152     0.52682394  4118.51464844     4.77465868     0.70602667
     0.60341966     0.52764660    -1.14220023     4.77380133  4120.27832031     0.12930843     0.52764660  4120.27832031     4.77380133     0.70602924
     0.60410357     0.52840990    -1.14025033     4.77302837  4121.90087891     0.12930354     0.52840990  4121.90087891     4.77302837     0.70603675
     0.60478753     0.52916902    -1.13833368     4.77226114  4123.46923828     0.12930427     0.52916902  4123.46923828     4.77226114     0.70604587
     0.60547143     0.52989423    -1.13650417     4.77155209  4124.99951172     0.12930477     0.52989423  4124.99951172     4.77155209     0.70605373
     0.60615540     0.53061235    -1.13471651     4.77086353  4126.41308594     0.12930168     0.53061235  4126.41308594     4.77086353     0.70605630
     0.60683930     0.53132164    -1.13295174     4.77018547  4127.79980469     0.12929563     0.53132164  4127.79980469     4.77018547     0.70606321
     0.60752320     0.53202111    -1.13121212     4.76952553  4129.27978516     0.12930590     0.53202111  4129.27978516     4.76952553     0.70606869
     0.60820717     0.53271329    -1.12949312     4.76887703  4130.62646484     0.12930329     0.53271329  4130.62646484     4.76887703     0.70607513
     0.60889107     0.53339559    -1.12777293     4.76824284  4132.01660156     0.12930237     0.53339559  4132.01660156     4.76824284     0.70608038
     0.60957503     0.53408480    -1.12605798     4.76760960  4133.41210938     0.12929837     0.53408480  4133.41210938     4.76760960     0.70608801
     0.61025894     0.53477347    -1.12433434     4.76697540  4134.85986328     0.12929900     0.53477347  4134.85986328     4.76697540     0.70608985
     0.61094284     0.53546113    -1.12259829     4.76634169  4136.34912109     0.12930278     0.53546113  4136.34912109     4.76634169     0.70608926
     0.61162680     0.53615040    -1.12085009     4.76570559  4137.85742188     0.12930565     0.53615040  4137.85742188     4.76570559     0.70609140
     0.61231071     0.53684235    -1.11909032     4.76506948  4139.38183594     0.12930733     0.53684235  4139.38183594     4.76506948     0.70609593
     0.61299467     0.53753710    -1.11731863     4.76443100  4140.92724609     0.12930863     0.53753710  4140.92724609     4.76443100     0.70610106
     0.61367857     0.53823382    -1.11553621     4.76378965  4142.49853516     0.12930980     0.53823382  4142.49853516     4.76378965     0.70610577
     0.61436248     0.53893268    -1.11374378     4.76314640  4144.07958984     0.12931082     0.53893268  4144.07958984     4.76314640     0.70611095
     0.61504644     0.53963262    -1.11194336     4.76250362  4145.68115234     0.12931098     0.53963262  4145.68115234     4.76250362     0.70611751
     0.61573035     0.54033279    -1.11013830     4.76186323  4147.29052734     0.12931010     0.54033279  4147.29052734     4.76186323     0.70612663
     0.61641431     0.54103094    -1.10832989     4.76122618  4148.91210938     0.12930954     0.54103094  4148.91210938     4.76122618     0.70613670
     0.61709821     0.54172462    -1.10652065     4.76059484  4150.57275391     0.12931269     0.54172462  4150.57275391     4.76059484     0.70614213
     0.61778212     0.54241544    -1.10471594     4.75996828  4152.25244141     0.12931773     0.54241544  4152.25244141     4.75996828     0.70614374
     0.61846608     0.54310578    -1.10292304     4.75934410  4153.92138672     0.12932095     0.54310578  4153.92138672     4.75934410     0.70614702
     0.61914998     0.54378515    -1.10114706     4.75873852  4155.59326172     0.12932649     0.54378515  4155.59326172     4.75873852     0.70615411
     0.61983395     0.54445755    -1.09939384     4.75815058  4157.17919922     0.12931970     0.54445755  4157.17919922     4.75815058     0.70615762
     0.62051785     0.54511720    -1.09766912     4.75757599  4158.81103516     0.12932509     0.54511720  4158.81103516     4.75757599     0.70616752
     0.62120175     0.54575819    -1.09599173     4.75702667  4160.37744141     0.12933217     0.54575819  4160.37744141     4.75702667     0.70617121
     0.62188572     0.54639965    -1.09432507     4.75648022  4161.94726562     0.12932779     0.54639965  4161.94726562     4.75648022     0.70617789
     0.62256962     0.54702675    -1.09270847     4.75596189  4163.40039062     0.12933424     0.54702675  4163.40039062     4.75596189     0.70618206
     0.62325358     0.54763395    -1.09114659     4.75546503  4164.79931641     0.12933853     0.54763395  4164.79931641     4.75546503     0.70618945
     0.62393749     0.54821163    -1.08968520     4.75502205  4166.10058594     0.12933671     0.54821163  4166.10058594     4.75502205     0.70619446
     0.62462139     0.54878306    -1.08826876     4.75459051  4167.27392578     0.12934291     0.54878306  4167.27392578     4.75459051     0.70620406
     0.62530535     0.54939026    -1.08678699     4.75410509  4168.56250000     0.12934180     0.54939026  4168.56250000     4.75410509     0.70621157
     0.62598926     0.54997456    -1.08537579     4.75364494  4169.69042969     0.12935275     0.54997456  4169.69042969     4.75364494     0.70622069
     0.62667322     0.55062765    -1.08379745     4.75308752  4171.04150391     0.12935086     0.55062765  4171.04150391     4.75308752     0.70622897
     0.62735713     0.55129647    -1.08219457     4.75250149  4172.36279297     0.12935467     0.55129647  4172.36279297     4.75250149     0.70624131
     0.62804103     0.55196637    -1.08056927     4.75191021  4173.69140625     0.12935756     0.55196637  4173.69140625     4.75191021     0.70625377
     0.62872499     0.55266619    -1.07889485     4.75127649  4175.08935547     0.12936212     0.55266619  4175.08935547     4.75127649     0.70627153
     0.62940890     0.55337799    -1.07720816     4.75063515  4176.45361328     0.12935795     0.55337799  4176.45361328     4.75063515     0.70629752
