# [Fe/H]_init  =     0.133103
# ranom =     0.000000
# Mass         Radius         logL           logg           Teff           [Fe/H]_surf    Radius_0       Teff_0         logg_0         Age            Xc             
     0.60000002     0.52345896    -1.15245521     4.77818012  4112.18896484     0.12946136     0.52345896  4112.18896484     4.77818012     0.00100000     0.70657480
     0.60068393     0.52410650    -1.15010130     4.77762985  4115.27587891     0.12945583     0.52410650  4115.27587891     4.77762985     0.00100000     0.70651913
     0.60136789     0.52507293    -1.14725113     4.77653599  4118.29980469     0.12944701     0.52507293  4118.29980469     4.77653599     0.00100000     0.70650434
     0.60205179     0.52602285    -1.14465642     4.77545118  4120.72412109     0.12944460     0.52602285  4120.72412109     4.77545118     0.00100000     0.70650518
     0.60273576     0.52691120    -1.14232218     4.77446604  4122.76513672     0.12943870     0.52691120  4122.76513672     4.77446604     0.00100000     0.70650959
     0.60341966     0.52771032    -1.14027798     4.77362919  4124.42675781     0.12944004     0.52771032  4124.42675781     4.77362919     0.00100000     0.70651162
     0.60410357     0.52844691    -1.13843787     4.77289820  4125.91015625     0.12944008     0.52844691  4125.91015625     4.77289820     0.00100000     0.70650959
     0.60478753     0.52916843    -1.13668048     4.77220535  4127.29199219     0.12943639     0.52916843  4127.29199219     4.77220535     0.00100000     0.70651454
     0.60547143     0.52986860    -1.13498032     4.77153873  4128.53857422     0.12943667     0.52986860  4128.53857422     4.77153873     0.00100000     0.70651799
     0.60615540     0.53054905    -1.13332486     4.77089834  4129.77392578     0.12943621     0.53054905  4129.77392578     4.77089834     0.00100000     0.70652282
     0.60683930     0.53122485    -1.13169420     4.77028370  4131.06835938     0.12943588     0.53122485  4131.06835938     4.77028370     0.00100000     0.70651740
     0.60752320     0.53189152    -1.13007152     4.76967716  4132.36132812     0.12943678     0.53189152  4132.36132812     4.76967716     0.00100000     0.70652235
     0.60820717     0.53255957    -1.12843072     4.76907730  4133.63183594     0.12944123     0.53255957  4133.63183594     4.76907730     0.00100000     0.70652699
     0.60889107     0.53322774    -1.12677252     4.76847219  4134.98242188     0.12944096     0.53322774  4134.98242188     4.76847219     0.00100000     0.70652312
     0.60957503     0.53389847    -1.12510133     4.76786375  4136.33544922     0.12944153     0.53389847  4136.33544922     4.76786375     0.00100000     0.70652902
     0.61025894     0.53457540    -1.12341022     4.76724958  4137.71435547     0.12944277     0.53457540  4137.71435547     4.76724958     0.00100000     0.70653743
     0.61094284     0.53525984    -1.12169480     4.76662493  4139.14794922     0.12944372     0.53525984  4139.14794922     4.76662493     0.00100000     0.70654273
     0.61162680     0.53595132    -1.11995411     4.76599360  4140.63867188     0.12944454     0.53595132  4140.63867188     4.76599360     0.00100000     0.70654619
     0.61231071     0.53664881    -1.11818969     4.76535273  4142.16210938     0.12944539     0.53664881  4142.16210938     4.76535273     0.00100000     0.70654958
     0.61299467     0.53735191    -1.11640203     4.76470327  4143.72900391     0.12944643     0.53735191  4143.72900391     4.76470327     0.00100000     0.70655358
     0.61367857     0.53806013    -1.11459279     4.76404524  4145.32177734     0.12944762     0.53806013  4145.32177734     4.76404524     0.00100000     0.70655829
     0.61436248     0.53877312    -1.11276340     4.76338148  4146.95166016     0.12944894     0.53877312  4146.95166016     4.76338148     0.00100000     0.70656377
     0.61504644     0.53949010    -1.11091542     4.76271105  4148.61376953     0.12945041     0.53949010  4148.61376953     4.76271105     0.00100000     0.70656985
     0.61573035     0.54021049    -1.10905182     4.76203632  4150.30859375     0.12945193     0.54021049  4150.30859375     4.76203632     0.00100000     0.70657599
     0.61641431     0.54093421    -1.10717404     4.76135683  4152.02880859     0.12945345     0.54093421  4152.02880859     4.76135683     0.00100000     0.70658076
     0.61709821     0.54166102    -1.10528553     4.76067686  4153.77294922     0.12945487     0.54166102  4153.77294922     4.76067686     0.00100000     0.70658338
     0.61778212     0.54238999    -1.10339010     4.75999737  4155.53613281     0.12945680     0.54238999  4155.53613281     4.75999737     0.00100000     0.70658606
     0.61846608     0.54311866    -1.10149181     4.75931931  4157.30908203     0.12945981     0.54311866  4157.30908203     4.75931931     0.00100000     0.70659429
     0.61914998     0.54384327    -1.09959388     4.75864506  4159.08496094     0.12946156     0.54384327  4159.08496094     4.75864506     0.00100000     0.70660412
     0.61983395     0.54456013    -1.09769905     4.75797319  4160.87792969     0.12945861     0.54456013  4160.87792969     4.75797319     0.00100000     0.70660627
     0.62051785     0.54527593    -1.09581006     4.75731421  4162.66210938     0.12945847     0.54527593  4162.66210938     4.75731421     0.00100000     0.70661330
     0.62120175     0.54598480    -1.09393597     4.75666857  4164.44726562     0.12946306     0.54598480  4164.44726562     4.75666857     0.00100000     0.70662731
     0.62188572     0.54667991    -1.09208786     4.75603485  4166.21484375     0.12946609     0.54667991  4166.21484375     4.75603485     0.00100000     0.70663267
     0.62256962     0.54737264    -1.09026957     4.75542545  4167.95117188     0.12946762     0.54737264  4167.95117188     4.75542545     0.00100000     0.70663887
     0.62325358     0.54803491    -1.08850133     4.75484610  4169.69775391     0.12947233     0.54803491  4169.69775391     4.75484610     0.00100000     0.70664448
     0.62393749     0.54869902    -1.08675504     4.75427341  4171.35742188     0.12946990     0.54869902  4171.35742188     4.75427341     0.00100000     0.70665604
     0.62462139     0.54933584    -1.08506370     4.75373268  4172.94921875     0.12947856     0.54933584  4172.94921875     4.75373268     0.00100000     0.70666015
     0.62530535     0.54995185    -1.08344913     4.75323200  4174.48925781     0.12947495     0.54995185  4174.48925781     4.75323200     0.00100000     0.70666993
     0.62598926     0.55052793    -1.08193731     4.75279045  4175.94238281     0.12948249     0.55052793  4175.94238281     4.75279045     0.00100000     0.70667267
     0.62667322     0.55106449    -1.08057511     4.75242281  4177.17138672     0.12948273     0.55106449  4177.17138672     4.75242281     0.00100000     0.70668548
     0.62735713     0.55154872    -1.07938480     4.75212717  4178.22167969     0.12948254     0.55154872  4178.22167969     4.75212717     0.00100000     0.70669580
     0.62804103     0.55197996    -1.07837391     4.75190687  4178.99462891     0.12948926     0.55197996  4178.99462891     4.75190687     0.00100000     0.70670921
     0.62872499     0.55238390    -1.07754338     4.75173712  4179.37304688     0.12949385     0.55238390  4179.37304688     4.75173712     0.00100000     0.70672399
     0.62940890     0.55288893    -1.07650912     4.75141668  4179.96728516     0.12950099     0.55288893  4179.96728516     4.75141668     0.00100000     0.70673865
     0.63009286     0.55349976    -1.07518196     4.75092697  4180.85791016     0.12949403     0.55349976  4180.85791016     4.75092697     0.00100000     0.70675582
     0.63077676     0.55416435    -1.07371616     4.75034618  4181.83789062     0.12950002     0.55416435  4181.83789062     4.75034618     0.00100000     0.70677471
     0.63146073     0.55486131    -1.07217860     4.74972105  4182.95849609     0.12950493     0.55486131  4182.95849609     4.74972105     0.00100000     0.70680141
     0.63214463     0.55559635    -1.07054973     4.74904537  4184.11376953     0.12949918     0.55559635  4184.11376953     4.74904537     0.00100000     0.70683479
